[0.000000] (-) TimerEvent: {}
[0.000041] (-) JobUnselected: {'identifier': 'bumperbot_bringup'}
[0.000060] (-) JobUnselected: {'identifier': 'bumperbot_controller'}
[0.000071] (-) JobUnselected: {'identifier': 'bumperbot_cpp_examples'}
[0.000079] (-) JobUnselected: {'identifier': 'bumperbot_description'}
[0.000086] (-) JobUnselected: {'identifier': 'bumperbot_localization'}
[0.000093] (-) JobUnselected: {'identifier': 'bumperbot_mapping'}
[0.000100] (-) JobUnselected: {'identifier': 'bumperbot_motion'}
[0.000106] (-) JobUnselected: {'identifier': 'bumperbot_msgs'}
[0.000112] (-) JobUnselected: {'identifier': 'bumperbot_navigation'}
[0.000119] (-) JobUnselected: {'identifier': 'bumperbot_planning'}
[0.000125] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000132] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.000138] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.000144] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.000151] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.000157] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000163] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.000170] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.000176] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.000185] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.000192] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.000198] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.000205] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.000211] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.000218] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.000224] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.000231] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.000238] (-) JobUnselected: {'identifier': 'nav2_graceful_controller'}
[0.000244] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.000250] (-) JobUnselected: {'identifier': 'nav2_loopback_sim'}
[0.000257] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.000263] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.000270] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.000276] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.000282] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.000289] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.000295] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.000302] (-) JobUnselected: {'identifier': 'nav2_route'}
[0.000308] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.000314] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.000321] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.000327] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.000333] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.000340] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.000346] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.000353] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.000359] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.000365] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.000373] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.000379] (-) JobUnselected: {'identifier': 'navigation2'}
[0.000386] (-) JobUnselected: {'identifier': 'opennav_docking'}
[0.000393] (-) JobUnselected: {'identifier': 'opennav_docking_bt'}
[0.000399] (-) JobUnselected: {'identifier': 'opennav_docking_core'}
[0.000407] (nav2_smoother) JobQueued: {'identifier': 'nav2_smoother', 'dependencies': OrderedDict({'nav2_common': '/bumperbot_ws/install/nav2_common', 'nav_2d_msgs': '/bumperbot_ws/install/nav_2d_msgs', 'nav2_msgs': '/bumperbot_ws/install/nav2_msgs', 'nav2_voxel_grid': '/bumperbot_ws/install/nav2_voxel_grid', 'nav2_util': '/bumperbot_ws/install/nav2_util', 'nav2_behavior_tree': '/bumperbot_ws/install/nav2_behavior_tree', 'nav2_lifecycle_manager': '/bumperbot_ws/install/nav2_lifecycle_manager', 'nav2_map_server': '/bumperbot_ws/install/nav2_map_server', 'nav_2d_utils': '/bumperbot_ws/install/nav_2d_utils', 'nav2_costmap_2d': '/bumperbot_ws/install/nav2_costmap_2d', 'nav2_core': '/bumperbot_ws/install/nav2_core'})}
[0.000725] (nav2_smoother) JobStarted: {'identifier': 'nav2_smoother'}
[0.008915] (nav2_smoother) JobEnded: {'identifier': 'nav2_smoother', 'rc': 1}
[0.019210] (-) EventReactorShutdown: {}
